F452;Time-series 9 (glnK mutant in F134 medium);;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
Online data;;;;;;;Offline data;;;;;;;;;;Abbreviations;;
;;;;;;;;;;;;;;;;;;;
Time;TAI;pH     ;DO;Agitation;CO2;;Sample #;TAI;CDW;RED;ACT;TBP;Glucose;Glutamate;PO4;;TAI;Time after inculation;
;[h];;[%];[rpm];[mmol/l/t];;;[h];[g/l];[spec units];[spec units];[spec units];[g/l];[g/l];[mg/l];;RED;undecylprodigiosin ;
15.03.2010 15:09:51 ;0,12;7,04;96,5;311;1,4;;1;1,0;;;;;41,6;57,1;491,7;;ACT;actinorhodin ;
15.03.2010 15:14:52 ;0,21;7,04;95,8;309;1,4;;2;17,0;0,11;;;;;;484,1;;TBP;total blue pigments;
15.03.2010 15:19:54 ;0,29;7,01;95,9;315;1,2;;3;18,0;;;;;;;;;;;
15.03.2010 15:24:59 ;0,38;7,04;96;318;1,2;;4;19,0;;;;;43,3;50,3;;;;;
15.03.2010 15:29:59 ;0,46;7,02;95,9;317;1,2;;5;20,0;0,31;;;;;;;;;;
15.03.2010 15:35:25 ;0,55;7,03;95,8;311;1,2;;6;21,0;;;;;;;472,4;;;;
15.03.2010 15:40:44 ;0,64;7,01;96;311;1,2;;7;22,0;;;;;;;;;;;
15.03.2010 15:46:03 ;0,73;7,02;95,5;305;1,2;;8;23,0;0,71;;;;;;448,4;;;;
15.03.2010 15:51:22 ;0,82;7,04;96;308;1,4;;9;24,0;;;;;;;;;;;
15.03.2010 15:56:42 ;0,91;7,03;95,7;318;1,4;;10;25,0;;;;;;;405,0;;;;
15.03.2010 16:02:02 ;0,99;7,01;95,4;306;1,4;;11;26,0;1,30;;;;;;;;;;
15.03.2010 16:07:21 ;1,08;7,04;95,7;314;1,4;;12;27,0;;;;;;;352,6;;;;
15.03.2010 16:12:40 ;1,17;7;95,4;314;1,4;;13;28,0;;;;;;;;;;;
15.03.2010 16:18:00 ;1,26;7,01;94,9;314;1,3;;14;29,0;1,99;;;;;;306,3;;;;
15.03.2010 16:23:19 ;1,35;7,02;95,4;308;1,3;;15;29,5;;;;;;;;;;;
15.03.2010 16:28:19 ;1,43;6,99;95,4;311;1,3;;16;30,0;;;;;40,9;48,0;274,9;;;;
15.03.2010 16:33:23 ;1,52;7,01;95,2;312;1,2;;17;30,5;;;;;;;;;;;
15.03.2010 16:38:25 ;1,6;7,02;95;315;1,2;;18;31,0;;;;;;;253,3;;;;
15.03.2010 16:43:32 ;1,69;7;95,3;308;1,2;;19;31,5;;;;;;;;;;;
15.03.2010 16:48:36 ;1,77;7,01;95,2;319;1,2;;20;32,0;2,81;;;;;;211,1;;;;
15.03.2010 16:53:41 ;1,86;7,01;94,8;309;1,2;;21;32,5;;;;;;;;;;;
15.03.2010 16:58:41 ;1,94;7,02;95,2;311;1,2;;22;33,0;;;;;;;184,0;;;;
15.03.2010 17:03:45 ;2,02;7,01;95,2;317;1,3;;23;33,5;;;;;;;;;;;
15.03.2010 17:09:19 ;2,12;7,01;94,6;315;1,3;;24;34,0;;;;;36,7;42,9;145,0;;;;
15.03.2010 17:14:23 ;2,2;7,01;95,1;314;1,2;;25;34,5;;;;;;;;;;;
15.03.2010 17:19:26 ;2,28;7;94,3;314;1,2;;26;35,0;3,95;;;;;;111,2;;;;
15.03.2010 17:24:59 ;2,38;6,98;94,6;309;1,2;;27;35,5;;;;;;;;;;;
15.03.2010 17:30:33 ;2,47;6,99;94,5;310;1,2;;28;36,0;;;;;;;77,0;;;;
15.03.2010 17:36:06 ;2,56;7,03;94,3;316;1,3;;29;36,5;;;;;;;;;;;
15.03.2010 17:41:07 ;2,65;7;94,5;307;1,3;;30;37,0;;;;;;;45,5;;;;
15.03.2010 17:46:29 ;2,74;7;94,3;314;1,2;;31;37,5;;;;;;;;;;;
15.03.2010 17:51:48 ;2,82;7,02;94,8;306;1,2;;32;38,0;4,81;0,04;0,13;0,10;;;9,9;;;;
15.03.2010 17:57:07 ;2,91;7,03;94,9;312;1,3;;33;38,5;;;;;;;;;;;
15.03.2010 18:02:27 ;3;7,03;94,3;312;1,3;;34;39,0;;0,05;0,12;0,13;34,7;40,1;0,1;;;;
15.03.2010 18:07:46 ;3,09;7;94,3;318;1,3;;35;40,0;;;;;;;;;;;
15.03.2010 18:13:05 ;3,18;7,01;94,4;312;1,3;;36;41,0;;0,05;0,08;0,10;;;4,1;;;;
15.03.2010 18:18:24 ;3,27;7;94,3;315;1,3;;37;42,0;;;;;;;;;;;
15.03.2010 18:23:43 ;3,36;7,01;94,2;306;1,3;;38;43,0;;0,05;0,09;0,10;;;5,4;;;;
15.03.2010 18:29:03 ;3,44;7,03;93,5;314;1,3;;39;44,0;;;;;;;;;;;
15.03.2010 18:34:22 ;3,53;7,02;94,3;315;1,3;;40;45,0;5,46;0,06;0,10;0,10;;;5,1;;;;
15.03.2010 18:39:41 ;3,62;7,02;93,9;313;1,3;;41;46,0;;;;;;;;;;;
