Sample #;TAI;CDW;RED;ACT;TBP;Glucose;Glutamate;PO4
1;1;;;;;45;57,1;491,7
2;17;0,11;;;;;;484,1
3;18;;;;;;;
4;19;;;;;43,3;50,3;
5;20;0,31;;;;;;
6;21;;;;;;;472,4
7;22;;;;;;;
8;23;0,71;;;;;;448,4
9;24;;;;;;;
10;25;;;;;;;405
11;26;1,3;;;;;;
12;27;;;;;;;352,6
13;28;;;;;;;
14;29;1,99;;;;;;306,3
15;29,5;;;;;;;
16;30;;;;;40,9;48;274,9
17;30,5;;;;;;;
18;31;;;;;;;253,3
19;31,5;;;;;;;
20;32;2,81;;;;;;211,1
21;32,5;;;;;;;
22;33;;;;;;;184
23;33,5;;;;;;;
24;34;;;;;36,7;42,9;145
25;34,5;;;;;;;
26;35;3,95;;;;;;111,2
27;35,5;;;;;;;
28;36;;;;;;;77
29;36,5;;;;;;;
30;37;;;;;;;45,5
31;37,5;;;;;;;
32;38;4,81;0,04;0,13;0,1;;;9,9
33;38,5;;;;;;;
34;39;;0,05;0,12;0,13;34,7;40,1;0,1
35;40;;;;;;;
36;41;;0,05;0,08;0,1;;;4,1
37;42;;;;;;;
38;43;;0,05;0,09;0,1;;;5,4
39;44;;;;;;;
40;45;5,46;0,06;0,1;0,1;;;5,1
41;46;;;;;;;
42;47;;0,09;0,1;0,12;;;
43;48;;;;;;;
44;49;;0,15;0,12;0,12;;;9,9
45;50;;;;;;;
46;51;5,98;0,26;0,09;0,15;30,4;28,9;
47;52;;;;;;;
48;53;;0,55;0,15;0,23;;;9,3
49;54;;;;;;;
50;55;;0,47;0,16;0,37;;;
51;56;;;;;;;
52;57;5,18;0,48;0,18;0,56;;;
53;65;7,5;1,16;0,27;1,6;28;25,4;
